動作分類,動作主項目,動作次項目,動作主項目(en),動作次項目(en),彈簧數量,練習數量
系列動作,腳部練習,,FOOT WORK,,掛3根或4根彈簧,重複練習10-12次
系列動作,,腳掌分開雙踵併攏,,TOES APART HEELS TOGETHER,,
系列動作,,腳趾抓桿,,WRAP TOES ON BAR,,
系列動作,,雙踵抵在腳踏桿上,,HEELS ON BAR,,
系列動作,,腳尖掂起,,HIGH HALF TOE,,
系列動作,,落踵與提踵,,LOWER & LIFT,,
系列動作,第二種姿勢,,SECOND POSITION,,掛3根或4根彈簧,重複練習10-12次
系列動作,,平行,,PARALLEL,,
系列動作,,外旋,,LATERALLY ROTATED,,
系列動作,,內旋,,MEDIALLY ROTATED,,
系列動作,單腿練習,,SINGLE LEG,,掛2根或3根彈簧,重複練習5-10次
系列動作,,單腿彎曲,,ONE LEGBENT,,
系列動作,,腳踏車式動作,,BICYCLE,,
系列動作,,單踵練習,,SINGLE HEEL,,
單一動作,百次拍擊,,HUNDRED,,掛2根或3根彈簧,重複練習10組
系列動作,屈伸練習,,BEND & STRETCH,,掛2根彈簧,重複練習10次
系列動作,,平行,,PARALLEL,,
系列動作,,外旋,,LATERALLY ROTATED,,
系列動作,,內旋,,MEDIALLY ROTATED,,
系列動作,抬腿與放腿,,LIFT & LOWER,,掛2根彈簧,重複練習5次
系列動作,,平行,,PARALLEL,,
系列動作,,外旋,,LATERALLY ROTATED,,
單一動作,伸展內收肌,,ADDUCTOR STRETCH,,掛2根彈簧,重複練習5次
單一動作,脊椎捲曲準備動作,,SHORT SPINE PREP,,掛2根彈簧,重複練習5次
單一動作,脊椎捲曲,,SHORT SPINE,,掛2根彈簧,重複練習5次
系列動作,中背部系列動作,,MIDBACK SERIES,,掛1根或2根彈簧,重複練習5次
系列動作,,下壓肱三頭肌,,TRICEPS PRESS,,
系列動作,,雙臂伸直下壓,,STRAIGHT DOWN,,
系列動作,,四十五度,,FORTY-FIVE DEGREES,,
系列動作,,側展,,SIDE,,
系列動作,,畫圈,,CIRCLES,,
系列動作,後划準備動作,,BACK ROWING PREPS,,掛1根或2根彈簧,重複練習5-10次
系列動作,,划船動作,,PLOW,,
系列動作,,分開雙肘,,OPEN ELBOWS,,
系列動作,,飛翔動作,,AIRPLANE,,
系列動作,,二頭肌捲曲,,BICEPS CURLS,,
系列動作,,肱三頭肌,,TRICEPS,,
系列動作,,向後捲動,,ROLL-DOWN,,
系列動作,,向後捲動-二頭肌捲曲,,ROLL-DOWN WITH BICEPS CURLS,,
系列動作,,側旋後捲,,ROLL-DOWN WITH OBLIQUES,,
系列動作,側坐手臂準備動作,,SIDE ARM PREPS SITTING,,掛1/4根或1根彈簧,重複練習5-10次
系列動作,,內旋,,INTERNAL ROTATION,,
系列動作,,外旋,,EXTERNAL ROTATION,,
系列動作,,內收,,ADDUTION,,
系列動作,,外展,,ABDUCTION,,
單一動作,側轉坐姿,,SIDE TWIST SITTING,,掛1/2根或1根彈簧,重複練習5次
系列動作,前划準備動作,,FRONT ROWING PREPS,,掛1根或2根彈簧,重複練習5次
系列動作,,向前伸直,,STRAIGHT FORWARD,,
系列動作,,第二種姿勢,,SECOND POSITION,,
系列動作,,雙手上托,,OFFERING,,
系列動作,腹部按摩,,STOMACH MASSAGE,,掛2根或3根彈簧,重複練習10次
系列動作,,準備動作,,PREP,,
系列動作,,弓背,,ROUND BACK,,
系列動作,,直背,,STRAIGHT BACK,,
系列動作,"雙臂拉動拉環,盒子豎放",,"ARMS PULLING STRAPS,LONG BOX",,掛1/2根或1根彈簧,重複練習5次
系列動作,,划船動作,,PLOW,,
系列動作,,飛翔動作,,AIRPLANE,,
系列動作,,肱三頭肌,,TRICEPS,,
單一動作,"弓背,盒子橫放",,"ROUND BACK,SHORT BOX",,掛2根彈簧,重複練習5次
單一動作,"直背,盒子橫放",,"STRAIGHT BACK,SHORT BOX",,掛2根彈簧,重複練習5次
單一動作,"扭轉,盒子橫放",,"TWIST,SHORT BOX",,掛2根彈簧,重複練習5次
單一動作,"樹姿,盒子橫放",,"TREE,SHORT BOX",,掛2根彈簧,重複練習3次
系列動作,大象姿,,ELEPHANT,,掛1根或2根彈簧,重複練習10次
系列動作,,弓背,,ROUND BACK,,
系列動作,,直背,,STRAIGHT BACK,,
單一動作,美人魚姿,,MERMAID,,掛1根彈簧,重複練習3-5次
系列動作,雙腿畫弧,,LEG CIRCLES,,掛2根彈簧,重複練習10次
系列動作,,平行,,PARALLEL,,
系列動作,,外旋,,LATERRALLY ROTATED,,
系列動作,,內旋,,MEDIALLY ROTATED,,
系列動作,膝部伸展,,KENN STRETCHES,,掛2根彈簧,重複練習10次
系列動作,,準備動作,,PREP,,
系列動作,,弓背,,ROUND BACK,,
系列動作,,直背,,STRAIGHT BACK,,
單一動作,跑步運動,,RUNNING,,掛2根或3根彈簧,重複練習20-60次
單一動作,髖部上抬,,HIP LIFT,,掛2根或3根彈簧,重複練習10次
單一動作,髖部起伏,,HIP ROLLS,,掛2根或3根彈簧,重複練習5-10次
單一動作,單側大腿伸展,,SINGLE THIGH STRETCH,,掛2根彈簧,重複練習5次
系列動作,側劈叉,,SIDE SPLITS,,掛1/2根至2根彈簧,重複練習8-10次
系列動作,,外展,,ABDUCTION,,
系列動作,,內收,,ADDUCTION,,